name,ab,url,strat,org,sector,type,region,country,city,submitted, 
Restaurant Organic Waste Pilot Project,"Diverting organic waste from landfill through direct collection from restaurants, and beneficiation thereof for alternative uses. It is intended to divert 50% of restaurant organic waste by 2023.",www.stellenbosch.gov.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Stellenbosch Municipality,FOOD & BEVERAGES including agriculture and restaurants,Government,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Seaharvest,"Fish waste are used to produce animal feed in a plant in Malmesbury, diverting waste from landfill - 9000t as been diverted to date, and waste is used as a revenue source for the company.  Data is collected for optimisation.",www.seaharvest.co.za,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",Seaharvest,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Sugar to plastic bottles,Sugar cane pulp to plastic bottles for Woolworths milk (ethanol to polypropylene can be recycled),https://www.cherryflava.com/technology/woolworths-introduces-green-bottle/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Woolworths National,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Mushroom Guru,Coffee grounds are used as a growing medium for mushrooms,http://www.mushroomguru.co.za/,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",Mushroom Guru,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
"Zero2Landfill, ZtL",Animals from vets and household food waste are composted to grow trees,http://www.ztlorganics.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Phillipi,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Eco Brick,"Cooldrink bottles filled with non-recyclable plastic to create bricks for low-cost housing, benches, etc.",www.ecobricks.org/; https://ecobrickexchange.org/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Eco Brick,FOOD & BEVERAGES including agriculture and restaurants,"Support (investment, consulting, media, etc)",Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Toastale,Beer made from old bread,www.toastale.com,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Toastale,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Doggo-bone raw dog food,Meat offcuts used to produce raw dog food,www.doggobone.co.za,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Doggobone,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Drakenstein Integrated Waste Management Facility,Zero waste to landfill for municipal collection in Drakenstein Municipality.  Extraction of value.,www.jpce.co.za,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",Drakenstein Municipality,FOOD & BEVERAGES including agriculture and restaurants,Government,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
My City Bus,City of Cape Town and City of Joburg provides efficient public transport in a purpose built bus-lane,www.mycity.co.za,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",City of Cape Town & City of Joburg,FOOD & BEVERAGES including agriculture and restaurants,Government,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Nutrient Recycling Organic waste to insect protein based animal feed,"Centralised nutrient cycling operations using black soldier fly larvae to process food waste into animal feed, thus replacing fish sourced protein.",https://agriprotein.com/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",AgriProtein,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Nutrient Recycling Organic waste to insect protein based animal feed,"Decentralised nutrient cycling operations using black soldier fly larvae to process abattoir waste into animal feed, thus replacing fish sourced protein (going through EIA process in Gauteng but looking to establish in WC in the next year)",http://www.khepri.co.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Khepri,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Controlled Environmental Agriculture,"Indoor hydroponic farmer growing leafy greens for retialers. Less water (cycled), less soil, less energy, pesticide, increase quality of produce (less waste) ",http://aquavegetables.co.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Aquavegetables,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Controlled Environmental Agriculture,Supply infrustructure and support the growth of CEA in South Africa,http://vegtech.co.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Vegtech,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Brenn-o-kem Waste to fine chemicals,"Specialize in processing winery waste (skins, seeds and lees) into high value-added products used in the wine industry and pharmaceutical industry ",http://www.brenn-o-kem.co.za/,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",Brenn-o-kem,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Food Forward Surplus Food Logistics,"Logistical facilitation for the collection and distribution of edible surplus food and non-food groceries, to verified and registered Beneficiary Organisations",https://foodforwardsa.org/,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",Food Forward,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Consol Glass Recycling,Consumer glass recycler,https://www.consol.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Consol,FOOD & BEVERAGES including agriculture and restaurants,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Checkers carrier bags,100% post-consumer carrier bag containing no calcium carbonate,https://www.shopriteholdings.co.za/articles/Newsroom/2013/Checkers-introduces-100-recycled-plastic-shopping-bags.html,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Checkers,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Newlife Plastics,"Outdoor functional furniture, manufactured from 100% recycled household plastic waste",http://newlifeplastics.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Newlife plastics,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Mypolen,Mypolen is a next-generation upcycled polymer that reduces your carbon footprint without jeopardizing the quality of your product.,http://myplas.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",MyPlas,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Pallet Cycle,"Bespoke pallets, shred wastage for boilers",https://www.palletcycle.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Pallet Cycle,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Waterleaf,Pallet refurbishment and upcycling,www.waterleaf.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Waterleaf,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Huhtamaki,"Use recycled paper to make egg boxes. Using recovered fiber we produce a range of protective molded fiber packaging for fresh produce, such as eggs and fruit",http://www.huhtamaki.com/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Huhtamaki,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Gayatri Paper Mills,"Recycling initiavive for Golden Era Group (GEG), whereby all paper waste produced within GEG is converted into pulp and kraft paper which is in turn used at New Era Packaging and converted into board.",http://www.golden-era.co.za/?page_id=97,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Golden Era Group: Gayatri Paper Mills,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Grape Pomace,"Grape pomace used for fine chemical manufacturing. Transforming winery waste, such as skins, seeds and lees, into value-added natural products which are used in the wine industry, pharmaceutical industry and other markets",http://www.brenn-o-kem.co.za/,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",Brenn-o-kem,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Ubusi,"Packaging material, the board is made from recycled material (minimum 60% up 100%) and is fully recyclable.",http://ubusi.co.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Blackheath,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
EcoFurniture Design,"Use wood form invasive alien vegetation and other diverted waste wood such as pallets and rail sleepers to manufacture furniture, employing local people.",http://ecofurnituredesign.com/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",EcoFurniture Design,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Polyplank,Manufacture pallets and furniture from recycled plastic,http://www.polyplank.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Polyplank,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Eerste River plastic school benches,School benches from recycled plastic,https://www.iol.co.za/capeargus/news/plastic-junk-gets-new-life-as-desks-at-eerste-river-school-13318817,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Polyco,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Polyatyrene building bricks,Used polystyrene is granulated and used as a composite for building bricks,http://www.epsasa.co.za/index.html,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Polystyrene Association of SA,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",Non-profit,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Recycled planks (100%),Recycled plastics are pellitized and extruded into planks for furniture,http://www.tufflex.co.za/about-us/about.asp,OTHER,Tufflex,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Multinational Corporate,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Waste to art,Used materials processed into various art forms,www.ccdi.org.za,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",CCDI,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",Government,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Solvent recovery,"Solvent recovery, re-processing and various fractions. Then sold as individual products",http://www.organicsynthesis.co.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Organic synthesis,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Tetrapack recycling,Tetrapak recycled at Mpact plant - fibres are recovered and reused,http://www.mpactrecycling.co.za/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Mpact,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
PET bottle grading system,Design of PET beverage bottles linked to rewarding based on grading system fro recyclability,www.petco.co.za,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Petco,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",Non-profit,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
WEEF pineapple leather,Hand-made leather products - looking into pineapple skin instead of using animal products,https://za.weefwear.com/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Weef,FASHION and other textiles,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Waste Value Chain Mapping,Value chain mapping for film and film construction wastes to create tranparency,http://www.toma-now.com/services/map-value-chain/,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",TOMA-now,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.","Support (investment, consulting, media, etc)",Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Switch Africa Green,Development of design and waste management guidelines for Proudly SA,http://switchafricagreen.org/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Switch Green Africa,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.","Support (investment, consulting, media, etc)",Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
EU-SA dialog facility,"Holding Circular Economy conferences in the Western Cape for awareness raising, funding and dialog facilitation",https://eeas.europa.eu/delegations/south-africa_en,OTHER,EU-SA,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",Government,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
African Marine Waste Network,"Developing a unifying strategy created by African communities for African countries, using African examples and case studies.  Grassroots strategy development and engagement with the comunities to change behaviour, including design changes and alternative business models.",https://africanwastenetwork.org.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",African Marine Waste Network (Toni Rabink),"OTHER: Financial services, professional services, healthcare, education, tourism, etc.","Support (investment, consulting, media, etc)",Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Biomimicry Education,"CPUT sustainability course on industrial design, including biomimicry",http://www.cput.ac.za/academic/faculties/informaticsdesign/departments/industrial-design; https://www.biomimicrysa.co.za/,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",CPUT,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",Education,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
LiFi,Use light frequency to send a data signal (any light source),https://www.lifi.eng.ed.ac.uk/,OTHER,LiFi,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",- Startup,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
The virtuous cycle,Futurelife provides porridge pouches for school feeding programme. The pouches are collected and used to manufacture school desks. ,http://thevirtuouscircle.co.za/,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",FutureLife,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",Non-profit,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
WISP,Connecting companies so that one's waste is another's resource. Free facilitation.,https://www.greencape.co.za/content/sector/wisp,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",GreenCape: WISP,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.","Support (investment, consulting, media, etc)",Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Huis Horison Recycling,"Employ people with mental disabilities to collect , sort and pre-process recyclables.  Fit for purpose job.",http://www.huishorison.org.za/en/help-with-recycling.html,OTHER,Huis horison,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",Non-profit,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Spier Water Recycling,Recycling water from the hotel at Spier through the wetland,http://www.spier.co.za/farm/sustainability/wastewater-treatment,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",Spier Winefarm,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Blue Economy Fund,"Growd funding model, use corporates to back",http://www.theblueeconomy.org/,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",The Blue Economy Fund,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Yacht Boatz,"Education programme based on a yacht that sails to ports to educate children about waste, climate change and its impact on oceans. The yacht uses green tech. ",https://www.yachtboaz.co.za/,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",- Startup,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
SAVA helthcare project,SAVA and Adcock Ingram recovery of bags and use for shoe soles,www.savinyls.co.za,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",SAVA,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",Non-profit,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Packa-Ching mobile buyback centre,"Mobile buyback centre for informal settlements - cashless card system, self sufficient energy",www.polyco.co.za,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Polyco,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",Non-profit,Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Satchels with solar light,"PVC billboards made into school bags / satchels with detachable solar panel, which is connected to a consol bottle for a study light",www.Rethakafoundation.org,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Rethaka Foundation / Repurposed school bags,"OTHER: Financial services, professional services, healthcare, education, tourism, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Wonder bag - polystyrene,Polystyrene wonderbag saves electricity,http://www.wonderbag.co.za/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Polystyrene Association of SA,FASHION and other textiles,- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
FFS recyclers,Recycler of engine oils into industrial heating fuels in South Africa. ,http://ffs-refiners.com,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",FFS ,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Africa,South Africa,,"CEC Cape Town Mapping Organizer: African Circular Economy Network, coordinated by Sally-Anne Kasner",https://www.circulareconomyclub.com/city-organisers/cec-cape-town-sally-anne-kasner/
Naboskab,Consulting within CE,http://naboskab.dk/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Naboskab,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Denmark,Copenhagen,CEC Copenhagen Mapping Organizer: Anna Queralt,https://www.circulareconomyclub.com/cec-copenhagen-anna-queralt/
Sustainable houses,Create more spaces for students to live,https://www.cphvillage.com,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Copenhagen Village,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Denmark,Copenhagen,CEC Copenhagen Mapping Organizer: Anna Queralt,https://www.circulareconomyclub.com/cec-copenhagen-anna-queralt/
Mobility - share car,Rent car per hour,https://www.drive-now.com/en,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Drive Now,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Denmark,,CEC Copenhagen Mapping Organizer: Anna Queralt,https://www.circulareconomyclub.com/cec-copenhagen-anna-queralt/
Mobility - share car,Rent car per hour,https://greenmobility.com/dk/en/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Green Mobility,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Denmark,,CEC Copenhagen Mapping Organizer: Anna Queralt,https://www.circulareconomyclub.com/cec-copenhagen-anna-queralt/
Mobility - share car,Share your own car and rent it,https://gomore.dk,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Go More,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Denmark,,CEC Copenhagen Mapping Organizer: Anna Queralt,https://www.circulareconomyclub.com/cec-copenhagen-anna-queralt/
Cargo Bikes,Design of cargo bikes for purchase or rental ,https://www.christianiabikes.com/da/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Christiania Bika,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Denmark,Copenhagen ,CEC Copenhagen Mapping Organizer: Anna Queralt,https://www.circulareconomyclub.com/cec-copenhagen-anna-queralt/
